1168 Najafabad Parkway,,Kabol,Kabul,40301,886649065861,Afghanistan
1924 Shimonoseki Drive,,Batna,Batna,52625,406784385440,Algeria
1031 Daugavpils Parkway,,Bchar,Bchar,59025,107137400143,Algeria
757 Rustenburg Avenue,,Skikda,Skikda,89668,506134035434,Algeria
1892 Nabereznyje Telny Lane,,Tutuila,Tafuna,28396,478229987054,American Samoa
486 Ondo Parkway,,Benguela,Benguela,35202,105882218332,Angola
368 Hunuco Boulevard,,Namibe,Namibe,17165,106439158941,Angola
1368 Maracabo Boulevard,,,South Hill,32716,934352415130,Anguilla
1623 Kingstown Drive,,Buenos Aires,Almirante Brown,91299,296394569728,Argentina
1229 Varanasi (Benares) Manor,,Buenos Aires,Avellaneda,40195,817740355461,Argentina
1427 A Corua (La Corua) Place,,Buenos Aires,Baha Blanca,85799,972574862516,Argentina
96 Tafuna Way,,Crdoba,Crdoba,99865,934730187245,Argentina
203 Tambaram Street,,Buenos Aires,Escobar,73942,411549550611,Argentina
166 Jinchang Street,,Buenos Aires,Ezeiza,86760,717566026669,Argentina
1926 El Alto Avenue,,Buenos Aires,La Plata,75543,846225459260,Argentina
1532 Dzerzinsk Way,,Buenos Aires,Merlo,9599,330838016880,Argentina
773 Dallas Manor,,Buenos Aires,Quilmes,12664,914466027044,Argentina
1483 Pathankot Street,,Tucumn,San Miguel de Tucumn,37288,686015532180,Argentina
430 Kumbakonam Drive,,Santa F,Santa F,28814,105470691550,Argentina
88 Nagaon Manor,,Buenos Aires,Tandil,86868,779461480495,Argentina
1244 Allappuzha (Alleppey) Place,,Buenos Aires,Vicente Lpez,20657,991802825778,Argentina
42 Brindisi Place,,Yerevan,Yerevan,16744,42384721397,Armenia
28 MySQL Boulevard,,QLD,Woodridge,,,Australia
1411 Lillydale Drive,,QLD,Woodridge,,6172235589,Australia
1010 Klerksdorp Way,,Steiermark,Graz,6802,493008546874,Austria
1440 Compton Place,,North Austria,Linz,81037,931059836497,Austria
1587 Loja Manor,,Salzburg,Salzburg,5410,621625204422,Austria
431 Szkesfehrvr Avenue,,Baki,Baku,57828,119501405123,Azerbaijan
503 Sogamoso Loop,,Sumqayit,Sumqayit,49812,834626715837,Azerbaijan
1759 Niznekamsk Avenue,,al-Manama,al-Manama,39414,864392582257,Bahrain
1838 Tabriz Lane,,Dhaka,Dhaka,1195,38988715447,Bangladesh
1816 Bydgoszcz Loop,,Dhaka,Jamalpur,64308,965273813662,Bangladesh
262 A Corua (La Corua) Parkway,,Dhaka,Tangail,34418,892775750063,Bangladesh
556 Asuncin Way,,Mogiljov,Mogiljov,35364,338244023543,Belarus
1027 Songkhla Manor,,Minsk,Molodetno,30861,563660187896,Belarus
659 Gatineau Boulevard,,La Paz,El Alto,28587,205524798287,Bolivia
287 Cuautla Boulevard,,Chuquisaca,Sucre,72736,82619513349,Bolivia
1407 Pachuca de Soto Place,,Rio Grande do Sul,Alvorada,26284,380077794770,Brazil
1354 Siegen Street,,Rio de Janeiro,Angra dos Reis,80184,573441801529,Brazil
356 Olomouc Manor,,Gois,Anpolis,93323,22326410776,Brazil
1201 Qomsheh Manor,,Gois,Aparecida de Goinia,21464,873492228462,Brazil
1692 Ede Loop,,So Paulo,Araatuba,9223,918711376618,Brazil
1190 0 Place,,Rio Grande do Sul,Bag,10417,841876514789,Brazil
1163 London Parkway,,Par,Belm,6066,675120358494,Brazil
1304 s-Hertogenbosch Way,,Santa Catarina,Blumenau,10925,90336226227,Brazil
1293 Nam Dinh Way,,Roraima,Boa Vista,71583,697656479977,Brazil
981 Kumbakonam Place,,Distrito Federal,Braslia,87611,829116184079,Brazil
984 Effon-Alaiye Avenue,,Gois,Goinia,17119,132986892228,Brazil
259 Ipoh Drive,,So Paulo,Guaruj,64964,419009857119,Brazil
758 Junan Lane,,Gois,guas Lindas de Gois,82639,935448624185,Brazil
543 Bergamo Avenue,,Minas Gerais,Ibirit,59686,103602195112,Brazil
